County,FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
Whitman,53075,52.5,24695,"3,136"
Kittitas,53037,35.5,15881,"3,003"
King,53033,34.7,785619,"2,972"
Whatcom,53073,33.5,76438,"2,929"
Franklin,53021,31.5,30728,"2,815"
Pierce,53053,31.4,290398,"2,809"
Walla,53071,31,19268,"2,769"
Spokane,53063,30.7,167007,"2,736"
Kitsap,53035,30.2,83563,"2,675"
Snohomish,53061,30.1,251022,"2,659"
Grant,53025,29.5,29629,"2,567"
Thurston,53067,29.1,86455,"2,483"
Yakima,53077,29.1,74721,"2,483"
Benton,53005,28.9,60782,"2,441"
Clark,53011,28.5,145249,"2,370"
Adams,53001,27.8,5758,"2,214"
Island,53029,27.7,24069,"2,190"
Chelan,53007,26.7,21249,"1,897"
Douglas,53017,26.6,11634,"1,860"
Skagit,53057,26.3,34351,"1,756"
Cowlitz,53015,25.8,28770,"1,560"
Lewis,53041,25.6,21479,"1,490"
Mason,53045,25,16767,"1,280"
Grays,53027,24.8,18910,"1,184"
Asotin,53003,24.6,5526,"1,125"
Okanogan,53047,23.7,10151,851
Skamania,53059,23.6,2893,817
Klickitat,53039,23.1,5328,679
Stevens,53065,21.5,10192,348
Clallam,53009,21.3,16495,320
Lincoln,53043,21,2370,279
Pend,53051,20.8,2867,246
Columbia,53013,19.1,763,110
Pacific,53049,18.9,4484,99
Garfield,53023,18.8,437,93
San,53055,18.8,3434,93
Ferry,53019,17.9,1315,62
Jefferson,53031,16.7,5559,37
Wahkiakum,53069,15.3,701,19
